Merek,Model,Varian,Tahun,Transmisi,jarak_tempuh_max
BMW,Serie 3,320i Business Edition,2006,Automatic,90000.0
Hyundai,Getz,Lain-lain,2005,Manual,5000.0
Isuzu,Grand touring,Lain-lain,2004,Manual,15000.0
Isuzu,Grand touring,Lain-lain,2010,Manual,105000.0
Proton,Lain-lain,Lain-lain,2010,Manual,80000.0
Suzuki,Ertiga,,2019,Manual,5000.0
Mercedes-Benz,SLK,Lain-lain,2005,Automatic,45000.0
Mercedes-Benz,S-Class,S300 L,2010,Automatic Triptonic,45000.0
KIA,Picanto,SE,2014,Automatic,20000.0
Isuzu,Grand touring,Lain-lain,2012,Manual,85000.0
Honda,HR-V,1.8L Prestige,2019,Automatic Triptonic,5000.0
Smart,Fortwo,Lain-lain,2010,Automatic Triptonic,65000.0
Mitsubishi,Pajero Sport,Exceed,2012,Automatic,115000.0
Land Rover,Range Rover Evoque,Dynamic Luxury Si4,2013,Automatic,35000.0
Mazda,Biante,2.0 SKYACTIV,2015,Automatic,95000.0
Daihatsu,Xenia,,2013,Manual,105000.0
Chery,Lain-lain,Lain-lain,2015,Manual,10000.0
Volkswagen,Caravelle,2.5,2000,Automatic,95000.0
Volkswagen,Polo,TSI 1.2,2016,Automatic,45000.0
Timor,DOHC,Lain-lain,1997,Manual,50000.0
Toyota,Lain-lain,Lain-lain,2015,Manual,85000.0
Mitsubishi,L300,,2016,Manual,55000.0
Mitsubishi,Xpander,ULTIMATE A/T,2018,Automatic,15000.0
Peugeot,206,Sporty,2003,Manual,45000.0
Lexus,RX,270,2011,Automatic Triptonic,80000.0
Mercedes-Benz,C-Class,C250,2014,Automatic Triptonic,5000.0
Mercedes-Benz,E-Class,E250,2013,Automatic,10000.0
Mitsubishi,Outlander,Lain-lain,2014,Automatic,35000.0
Audi,Audi A3,Sportback,2002,Automatic Triptonic,100000.0
Honda,Freed,S,2012,Automatic Triptonic,95000.0
Mercedes-Benz,E-Class,E260,2004,Automatic Triptonic,105000.0
Peugeot,405,2.0,1996,Automatic,155000.0
Isuzu,Panther,2.5,1997,Manual,185000.0
Toyota,Rush,S,2013,Automatic,100000.0
Hyundai,Accent,GLS,2006,Manual,100000.0
Mitsubishi,Lancer Evolution,2.0 Evolution 3,1985,Manual,260000.0
Toyota,Soluna,Gli,2000,Manual,155000.0
Isuzu,Lain-lain,Lain-lain,2010,Manual,25000.0
Toyota,Innova,G,2012,Automatic,80000.0
Volkswagen,Polo,TSI 1.2,2017,Automatic,20000.0
Hyundai,New Tucson,Lain-lain,2012,Automatic,65000.0
Nissan,X-Trail,Lain-lain,2006,Automatic,160000.0
Mitsubishi,Xpander,EXCEED M/T,2018,Manual,5000.0
Mazda,RX-8,Sport,2010,Automatic Triptonic,70000.0
Jeep,Jeep,Lain-lain,2001,Manual,30000.0
Honda,CR-V,2.4 i-VTEC,2008,Automatic Triptonic,75000.0
Honda,Jazz,Lain-lain,2005,Manual,20000.0
Honda,Jazz,RS,2016,Automatic,10000.0
Nissan,Grand livina,Lain-lain,2010,Automatic,135000.0
Suzuki,Ertiga,GL,2013,Manual,95000.0
Daihatsu,Sigra,1.2 R,2017,Manual,15000.0
Mazda,8,Lain-lain,2002,Automatic,155000.0
Suzuki,Ertiga,Dreza,2017,Automatic,20000.0
Nissan,Grand livina,Lain-lain,2014,Automatic,55000.0
Citroen,BX,Lain-lain,1991,Manual,105000.0
Datsun,Cross,Lain-lain,2018,Manual,10000.0
Lexus,430,Lain-lain,2005,Automatic Triptonic,75000.0
Daihatsu,Gran max,Lain-lain,2014,Manual,55000.0
Suzuki,Wagon R,GX,2017,Manual,35000.0
Isuzu,Panther,Grand Touring,2002,Manual,90000.0
Honda,HR-V,E CVT,2017,Automatic,25000.0
Hyundai,Avega,GL,2010,Manual,100000.0
Honda,HR-V,1.8L Prestige,2016,Automatic Triptonic,35000.0
Datsun,Go+,Panca T Style,2016,Manual,25000.0
Daihatsu,Terios,TS,2012,Automatic,55000.0
Geely,Panda,1.3,2011,Manual,25000.0
Mazda,2,GT,2014,Automatic,55000.0
Mazda,2,RZ,2013,Automatic,60000.0
KIA,Sorento,Lain-lain,2013,Automatic,70000.0
Dodge,Lain-lain,Lain-lain,1985,Manual,45000.0
Nissan,Evalia,XV,2012,Automatic,80000.0
KIA,Picanto,SE,2011,Manual,75000.0
Mini Cooper,Mini Cooper,Lain-lain,2013,Automatic Triptonic,50000.0
Daihatsu,Xenia,R 1.3 STD,2018,Manual,35000.0
Chevrolet,Captiva,,2010,Automatic,100000.0
Mercedes-Benz,GLA-Class,GLA200,2017,Automatic Triptonic,15000.0
Nissan,Serena,HWS,2011,Automatic,75000.0
Isuzu,Panther,LV,2007,Manual,225000.0
Mazda,Biante,2.0,2013,Automatic Triptonic,50000.0
Suzuki,Carry,RV. Gx,2006,Manual,185000.0
Daihatsu,Terios,TX,2013,Automatic,105000.0
BMW,Lain-lain,Lain-lain,2000,Automatic Triptonic,130000.0
Nissan,Serena,HWS,2014,Automatic,75000.0
Honda,Freed,E,2012,Automatic,65000.0
Daihatsu,Xenia,R 1.3 STD,2016,Manual,35000.0
Honda,Freed,E,2010,Automatic,100000.0
Mitsubishi,Xpander,ULTIMATE A/T,2018,Automatic,10000.0
Mazda,CX-5,Grand Touring,2013,Automatic Triptonic,100000.0
Mitsubishi,Pajero Sport,Dakar 2.4,2016,Automatic Triptonic,45000.0
BMW,Serie 3,320i,2015,Automatic,45000.0
Chevrolet,Captiva,Lain-lain,2008,Automatic,95000.0
Jaguar,XJ,Portfolio L,1996,Automatic,70000.0
BMW,X1,sDrive18i,2017,Automatic,20000.0
Mazda,Lain-lain,Lain-lain,2013,Manual,50000.0
Mazda,Biante,Lain-lain,2012,Automatic,35000.0
Datsun,Go+,Panca T Ultimate,2017,Manual,25000.0
Datsun,Go,Panca T Active,2017,Manual,40000.0
Chevrolet,Trax,LTZ,2018,Automatic,25000.0
Mitsubishi,Xpander,ULTIMATE A/T,2018,Automatic Triptonic,20000.0
Mercedes-Benz,E-Class,E250,2017,Automatic,10000.0
Isuzu,Panther,LM,2003,Manual,115000.0
Chevrolet,Aveo,LT,2014,Automatic,65000.0
Mitsubishi,Xpander,ULTIMATE A/T,2019,Automatic Triptonic,20000.0
Honda,Brio,,2019,Manual,5000.0
Suzuki,Ertiga,GL,2013,Automatic,20000.0
Mazda,Biante,2.0,2012,Automatic,75000.0
Nissan,Teana,250 XV,2010,Automatic,75000.0
KIA,Picanto,A/T Option,2008,Automatic,115000.0
Nissan,Grand livina,Lain-lain,2010,Automatic,85000.0
Mazda,Biante,2.0,2013,Automatic,95000.0
Chevrolet,Spin,LT,2014,Manual,105000.0
Chevrolet,Orlando,LT,2012,Automatic Triptonic,100000.0
Daihatsu,Xenia,R 1.3 Sporty,2014,Automatic,70000.0
Mercedes-Benz,E-Class,E320,1996,Automatic,110000.0
Chevrolet,Captiva,Lain-lain,2011,Automatic Triptonic,35000.0
Ford,Lain-lain,Lain-lain,1985,Automatic,
BMW,Serie 3,323i E46 2.5,2000,Automatic Triptonic,105000.0
Nissan,Terrano,Kingsroad,2004,Manual,185000.0
Mazda,2,Lain-lain,2014,Manual,45000.0
Honda,Jazz,S,2017,Automatic,15000.0
Jeep,Rubicon,Lain-lain,2011,Automatic Triptonic,10000.0
Nissan,Grand livina,Lain-lain,2012,Automatic,70000.0
Mitsubishi,Pajero Sport,Exceed,2013,Automatic,70000.0
Hyundai,Accent,GLS,2001,Automatic,180000.0
Ford,Fiesta,Sport,2011,Automatic Triptonic,80000.0
Mercedes-Benz,E-Class,E320,1994,Automatic,140000.0
Mitsubishi,Triton,,2012,Manual,195000.0
KIA,Rio,Hatchback,2012,Manual,65000.0
Isuzu,Panther,2.3,1994,Manual,85000.0
BMW,Serie 3,325i,2006,Automatic,105000.0
Datsun,120,Lain-lain,1985,Manual,10000.0
Mazda,Astina,Lain-lain,1991,Manual,35000.0
